FECHA,HORA,SENSOR,TEMPERATURA,UNIDAD,HUMEDAD_%,ESTADO_BATERIA,DEVICE_ID,OTROS_DATOS
20/02/2026,05:30:07,Balcón,21.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,05:30:07,Interior,26.6,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,05:45:07,Balcón,21.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,05:45:07,Interior,26.6,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,06:00:07,Balcón,21.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,06:00:07,Interior,26.6,C,60,Alta,eb849849b3155b7110det4,
20/02/2026,06:15:06,Balcón,20.7,C,69,Media,eb007de949df61414afvyg,
20/02/2026,06:15:06,Interior,26.5,C,60,Media,eb849849b3155b7110det4,
20/02/2026,06:30:06,Balcón,20.7,C,69,Media,eb007de949df61414afvyg,
20/02/2026,06:30:06,Interior,26.5,C,60,Media,eb849849b3155b7110det4,
20/02/2026,06:45:07,Balcón,20.7,C,69,Media,eb007de949df61414afvyg,
20/02/2026,06:45:07,Interior,26.5,C,60,Media,eb849849b3155b7110det4,
20/02/2026,07:00:07,Balcón,20.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,07:00:07,Interior,26.3,C,59,Alta,eb849849b3155b7110det4,
20/02/2026,07:15:06,Balcón,20.2,C,69,Media,eb007de949df61414afvyg,
20/02/2026,07:15:06,Interior,26.3,C,59,Alta,eb849849b3155b7110det4,
20/02/2026,07:30:06,Balcón,19.7,C,71,Media,eb007de949df61414afvyg,
20/02/2026,07:30:06,Interior,26.3,C,59,Alta,eb849849b3155b7110det4,
20/02/2026,07:45:06,Balcón,19.7,C,71,Media,eb007de949df61414afvyg,
20/02/2026,07:45:06,Interior,26.3,C,59,Alta,eb849849b3155b7110det4,
20/02/2026,08:00:07,Balcón,20.2,C,71,Media,eb007de949df61414afvyg,
20/02/2026,08:00:07,Interior,26.2,C,59,Media,eb849849b3155b7110det4,
20/02/2026,08:15:07,Balcón,20.7,C,72,Media,eb007de949df61414afvyg,
20/02/2026,08:15:07,Interior,26.2,C,59,Media,eb849849b3155b7110det4,
20/02/2026,08:30:06,Balcón,21.9,C,68,Media,eb007de949df61414afvyg,
20/02/2026,08:30:06,Interior,25.7,C,58,Media,eb849849b3155b7110det4,
20/02/2026,08:45:10,Balcón,22.4,C,66,Media,eb007de949df61414afvyg,
20/02/2026,08:45:10,Interior,25.2,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,09:00:08,Balcón,23.4,C,66,Media,eb007de949df61414afvyg,
20/02/2026,09:00:08,Interior,25.2,C,58,Alta,eb849849b3155b7110det4,
20/02/2026,09:15:07,Balcón,23.4,C,66,Media,eb007de949df61414afvyg,
20/02/2026,09:15:07,Interior,25.2,C,58,Alta,eb849849b3155b7110det4,
